left_context,delimiter,right_context,label
ion Nr,:, 15107,0
n Date,:, 03/13,0
e Date,:, 03/24,0
KET NO,.,  10-1,0
"S

1",.,  Enti,1
ession,.,"

2.",1
".

2",.,  Enti,1
(TDIU),.,"


",1
ted by,:,	Harol,0
rold H,., Hoffm,0
"D

K",., Hughe,0
r 1976,.,"

Th",1
Oregon,.,  In D,1
 Judge,.,  A tr,1
record,.,"

In",1
rating,.,  The ,1
Court),.,  In S,1
otion),;, vacat,0
rating,;, and r,0
Motion,.,"

Th",1
 (AOJ),.,  VA w,1
quired,.,"


",1
 drill,.,"

Th",1
f such,.,  The ,1
 1976),.,  The ,1
 sleep,.,"

Th",1
r 1973,.,  He w,1
n 1974,.,  He w,1
r 1974,.,  He w,1
l 1975,.,  He s,1
y 1975,.,  He s,1
r 1976,.,  In O,1
ity (i,.,e. apa,0
y (i.e,., apath,0
ively),.,"  

",1
g of 3,.,6 in J,0
 and 3,.,4 in S,0
e of 3,.,45.  H,0
f 3.45,.,  He h,1
g of 3,.,8 in J,0
"974, 3",.,6 in S,0
"974, 3",.,2 in A,0
 and 3,.,4 in J,0
e of 3,.,5.  He,0
of 3.5,.,  He h,1
g of 3,.,8 in J,0
"974, 3",.,6 in S,0
 and 3,.,4 in A,0
e of 3,.,55.  F,0
f 3.55,.,  For ,1
ad a 3,.,8 in J,0
 and 3,.,4 in S,0
e of 3,.,"5. 
",0
of 3.5,.," 

A",1
havior,.,  The ,1
fornia,.,"

An",1
e good,.,"

A ",1
f duty,.,  Agai,1
sevelt,.,"

An",1
f duty,.,"  

",1
lowing,:,"

Si",1
 plant,.,  He h,1
aboard,.,  [The,1
 times,.,  When,1
ed out,.,  [The,1
ervice,.,  [The,1
others,.,  He h,1
duties,.,  [The,1
ooming,.,  [the,1
tunity,.,  He i,1
stment,.," 

I",1
ollows,:,"

[T",1
bility,.,  [The,1
vision,.,  [The,1
rogram,.,  [The,1
 times,.,  Alth,1
wn way,.,"

A ",1
e duty,.,  It n,1
duties,.,  A fe,1
muster,.,  The ,1
tively,.,"  

",1
gnment,.,  His ,1
" fair""",.,  Sinc,1
o poor,.,"""  It ",0
arines,.,"  

",1
marine,.,  Rath,1
vision,.,"

Th",1
vessel,.,  A De,1
mation,:," ""We r",0
sevelt,.,  The ,1
", 1976",.,  The ,1
patrol,.,""" 

",0
rehead,.,  The ,1
o duty,.,  The ,1
usness,.,"  

",1
ervice,.," 

T",1
rating,.,"  

",1
ervice,.,  An e,1
e Navy,.,"..""   ",0
 Navy.,.,".""   ",0
Navy..,.,"""   
",0
tution,.,"""  It ",0
nation,.,"""  
",0
r 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 1,0
.S.C.A,., § 111,0
stment,;, such ,0
idence,.,  A hi,1
trance,.,  In a,1
ervice,.,  This,1
ation),.,"

Th",1
ervice,.,  Once,1
lished,.,  At t,1
isease,.,  This,1
eteran,.,  It i,1
ervice,.,  See ,1
bert v,., Shins,0
26 Vet,., App. ,0
t. App,.," 48, 5",0
ervice,.,  An e,1
essary,.,"

Th",1
from D,.," S., L",0
m D. S,.,", LCSW",0
nician,.,  Furt,1
r 2012,.,  VA s,1
 claim,.,  See ,1
rphy v,., Derwi,0
 1 Vet,., App. ,0
t. App,.," 78, 8",0
(1990),;, Bell ,0
Bell v,., Derwi,0
 2 Vet,., App. ,0
t. App,., 611 (,0
(1992),.,"

Th",1
 claim,.,"

Ac",1
action,:,"

1.",1
":

1",.,  Ask ,1
record,.,  The ,1
 the D,.," S., L",0
e D. S,.,", LCSW",0
", LCSW",.,  All ,1
tained,.,"  

",1
" 

2",.,  Ther,1
nation,.,  The ,1
review,.,  All ,1
ducted,.,  The ,1
lowing,:,"

(a",1
d PTSD,.,  Spec,1
ction),?,  If s,1
gnosis,.,  If P,1
acking,.,"

(b",1
ervice,.,  In d,1
bility,.," 

(",1
ervice,?,  If i,1
ervice,.,"

(d",1
ession,?,  Any ,1
tified,.,"

(e",1
ervice,?,"  

",1
pation,?,"

Th",1
eports,.,  The ,1
priate,.,"  

",1
" 

3",.,  Ther,1
rating,.,  If a,1
espond,.,  The ,1
review,.,"

Th",1
manded,.,  Kuts,1
usky v,.," West,",0
12 Vet,., App. ,0
t. App,., 369 (,0
(1999),.,  This,1
atment,.,  The ,1
manner,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 51,0
 2014),.,"


",1
r 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 7,0
.S.C.A,., § 725,0
Claims,.,  This,1
appeal,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 2,0
 C.F.R,., § 20.,0
. § 20,.,1100(b,0
(2014),.,"

",1
ion Nr,:, 15140,0
n Date,:, 04/01,0
e Date,:, 04/09,0
KET NO,.,  13-0,0
"S

1",.,  Enti,1
sorder,.,"  

",1
" 

2",.,  Whet,1
 state,.,"  

",1
" 

3",.,  Enti,1
isease,.,"  

",1
ted by,:,	James,0
"D

M",., Taylo,0
e 1969,.,  He a,1
r 1964,.,"  

",1
s (VA),.,"  

",1
denied,.,  Gene,1
 claim,.,  See ,1
e 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. § 5,0
.S.C.A,., § 510,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,156(a),0
156(a),.,  Here,1
tivity,.,"""  See",0
75 Fed,., Reg. ,0
d. Reg,., 39843,0
 2010),.,  Thus,1
 claim,.,  See ,1
ncer v,., Brown,0
 4 Vet,., App. ,0
t. App,., 283 (,0
(1993),.,  Addi,1
record,.,  Thus,1
t time,.,  See ,1
e 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.1,0
R. § 3,.,156(b),0
156(b),.,"

Fo",1
 state,.,  The ,1
 state,.,  Ther,1
orm 9),.,  To t,1
ection,.,"  

",1
t 2013,.,"

Th",1
isease,.,  As s,1
e page,.,"  

",1
r PTSD,.,  The ,1
r them,.,  As s,1
action,.,"  

",1
cision,.,  This,1
 final,.,  In f,1
cision,.,"

Th",1
he AOJ,.,"


",1
ervice,.,"  

",1
en met,.,  38 U,1
  38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,"303, 3",0
"303, 3",.,304(f),0
(2014),.,"


",1
"S

I",., Crite,1
f duty,., 38 U.,1
. 38 U,.,S.C.A.,0
38 U.S,.,C.A. §,0
 U.S.C,.,A. §§ ,0
.S.C.A,., §§ 11,0
 2014),;, 38 C.,0
; 38 C,.,F.R. §,0
38 C.F,.,R. §§ ,0
 C.F.R,., §§ 3.,0
. §§ 3,.,"303, 3",0
"303, 3",.,304 (2,0
(2014),.,  Serv,1
ervice,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,303(d),0
303(d),.," 

S",1
h 38 C,.,F.R. §,0
38 C.F,.,R. § 4,0
 C.F.R,., § 4.1,0
R. § 4,.,125(a),0
125(a),;, a lin,0
ressor,;, and c,0
curred,.,  38 C,1
  38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
304(f),.,"  

",1
n 38 C,.,F.R. §,0
38 C.F,.,R. § 3,0
 C.F.R,., § 3.3,0
R. § 3,.,304(f),0
